RPM,MAP,TempoDeInjecao,Confianca
869,-0.05,9.9,0.195
869,0.05,6.0,0.229
870,-0.95,9.0,0.234
870,-0.85,3.4,0.222
870,-0.75,4.8,0.24
870,-0.65,2.6,0.244
870,-0.55,3.6,0.224
870,-0.45,9.2,0.209
870,-0.35,2.8,0.253
870,-0.25,4.4,0.208
870,-0.15,3.4,0.164
870,-0.05,5.5,0.145
870,0.05,3.1,0.208
871,-0.95,7.9,0.238
871,-0.85,2.4,0.206
871,-0.75,2.9,0.213
871,-0.65,3.5,0.204
871,-0.55,3.6,0.184
871,-0.45,2.7,0.264
871,-0.35,2.8,0.314
871,-0.25,3.4,0.255
871,-0.15,5.8,0.166
871,-0.05,7.1,0.208
871,0.05,3.3,0.174
872,-0.95,6.9,0.206
872,-0.85,3.6,0.202
872,-0.75,2.5,0.217
872,-0.65,2.4,0.254
872,-0.55,2.7,0.256
872,-0.45,11.8,0.205
872,-0.35,2.8,0.329
872,-0.25,4.8,0.174
872,-0.15,3.5,0.22
872,-0.05,3.0,0.259
872,0.05,12.9,0.103
873,-0.95,8.2,0.189
873,-0.85,4.8,0.158
873,-0.75,2.5,0.163
873,-0.65,2.6,0.256
873,-0.55,2.7,0.225
873,-0.45,1.6,0.199
873,-0.35,14.4,0.103
873,-0.25,10.0,0.202
873,-0.15,2.2,0.22
873,-0.05,10.4,0.194
873,0.05,11.7,0.228
874,-0.95,11.0,0.186
874,-0.85,2.4,0.169
874,-0.75,2.5,0.256
874,-0.65,3.1,0.226
874,-0.55,2.0,0.199
874,-0.45,2.7,0.239
874,-0.35,7.4,0.17
874,-0.25,8.5,0.183
874,-0.15,2.7,0.245
874,-0.05,3.9,0.245
874,0.05,2.8,0.246
875,-0.95,2.4,0.148
875,-0.85,4.2,0.169
875,-0.75,2.5,0.217
875,-0.65,3.1,0.151
875,-0.55,3.6,0.181
875,-0.45,3.9,0.216
875,-0.35,2.8,0.235
875,-0.25,2.5,0.181
875,-0.15,2.6,0.21
875,-0.05,6.3,0.2
875,0.05,6.8,0.244
876,-0.95,5.4,0.136
876,-0.85,2.7,0.186
876,-0.75,5.3,0.117
876,-0.65,2.6,0.186
876,-0.55,6.9,0.134
876,-0.45,13.1,0.08
876,-0.35,2.8,0.212
876,-0.25,2.9,0.248
876,-0.15,10.0,0.148
876,-0.05,7.2,0.168
876,0.05,3.0,0.191
877,-0.95,9.2,0.144
877,-0.85,2.7,0.2
877,-0.75,2.4,0.234
877,-0.65,2.6,0.272
877,-0.55,2.7,0.226
877,-0.45,2.7,0.218
877,-0.35,3.0,0.224
877,-0.25,2.9,0.244
877,-0.15,2.8,0.258
877,-0.05,3.0,0.268
877,0.05,4.3,0.144
878,-0.95,8.2,0.119
878,-0.85,3.7,0.154
878,-0.75,11.5,0.163
878,-0.65,3.6,0.164
878,-0.55,2.7,0.211
878,-0.45,3.0,0.201
878,-0.35,1.0,0.067
878,-0.25,3.8,0.18
878,-0.15,3.0,0.243
878,-0.05,3.0,0.18
878,0.05,3.0,0.145
879,-0.95,6.6,0.144
879,-0.85,3.9,0.128
879,-0.75,1.7,0.15
879,-0.65,2.6,0.22
879,-0.55,3.9,0.135
879,-0.45,3.0,0.179
879,-0.35,10.4,0.117
879,-0.25,11.7,0.142
879,-0.15,5.9,0.155
879,-0.05,3.3,0.241
879,0.05,5.4,0.225
880,-0.95,3.5,0.137
880,-0.85,6.3,0.122
880,-0.75,2.0,0.142
880,-0.65,2.9,0.179
880,-0.55,3.3,0.187
880,-0.45,3.2,0.127
880,-0.35,2.8,0.213
880,-0.25,8.1,0.136
880,-0.15,1.8,0.164
880,-0.05,4.8,0.233
880,0.05,3.6,0.175
881,-0.95,10.9,0.17
881,-0.85,2.4,0.14
881,-0.75,2.5,0.152
881,-0.65,8.6,0.196
881,-0.55,2.7,0.19
881,-0.45,11.8,0.131
881,-0.35,2.8,0.23
881,-0.25,11.2,0.215
881,-0.15,2.8,0.195
881,-0.05,2.6,0.213
881,0.05,8.9,0.26
882,-0.95,9.3,0.168
882,-0.85,11.4,0.132
882,-0.75,2.7,0.188
882,-0.65,2.6,0.173
882,-0.55,6.4,0.187
882,-0.45,10.2,0.122
882,-0.35,4.1,0.184
882,-0.25,10.0,0.141
882,-0.15,3.2,0.259
882,-0.05,5.7,0.226
882,0.05,1.8,0.191
883,-0.95,8.3,0.2
883,-0.85,2.4,0.154
883,-0.75,7.2,0.13
883,-0.65,2.7,0.21
883,-0.55,3.7,0.138
883,-0.45,6.6,0.133
883,-0.35,2.8,0.198
883,-0.25,2.4,0.27
883,-0.15,3.0,0.243
883,-0.05,3.0,0.266
883,0.05,6.9,0.18
884,-0.95,10.7,0.162
884,-0.85,3.4,0.233
884,-0.75,3.2,0.172
884,-0.65,4.5,0.184
884,-0.55,6.9,0.189
884,-0.45,3.6,0.191
884,-0.35,3.0,0.261
884,-0.25,2.9,0.269
